ID,Latitude,Longitude,Location Description,Slope,Rainfall,Vegetation_Density,Distance_to_River
1,-7.833583294,110.6592606,"Gunungkidul, Yogyakarta",31.48673248,2933.75308,0.188087374,79.84985911
2,-7.618618452,110.2215822,"Sleman, Yogyakarta",2.633192778,4139.45859,0.3229038417,7.810249676
3,-7.721775618,110.4276145,"Sleman, Yogyakarta",1.317453384,2846.278999,0.2071087956,3.605551275
4,-7.657622808,110.7841362,"Sleman, Yogyakarta",1.871008754,2769.566329,0.1818066835,11
7,-8.003516877,110.7208073,"Bantul, Yogyakarta",27.62344551,2697.966595,0.1746338755,36
8,-8.132326843,110.796087,"Bantul, Yogyakarta",2.780288458,2658.617504,0.1594509035,12
10,-7.981364721,110.771072,"Gunungkidul, Yogyakarta",24.27044296,2933.264709,0.1612287462,6.403124237
11,-7.842410975,110.6639719,"Gunungkidul, Yogyakarta",13.00417137,2933.75308,0.2169445455,57.00877125
12,-8.020060298,110.5722779,"Bantul, Yogyakarta",7.673206329,2406.39868,0.1423371583,13
13,-7.900221408,110.5025237,"Gunungkidul, Yogyakarta",7.50500679,2539.575038,0.1555136144,17
14,-8.153992059,110.7156252,"Bantul, Yogyakarta",6.210125923,2761.276016,0.1809363514,41.10960958
15,-7.612236449,110.6051436,"Sleman, Yogyakarta",2.633172989,3089.758821,0.2292777449,24.75883681
16,-7.680102109,110.7942869,"Sleman, Yogyakarta",0.9358026981,2769.566329,0.2309825569,26.17250466
17,-8.11485972,110.5516853,"Bantul, Yogyakarta",3.820755482,2614.482682,0.1973693371,10.63014581
18,-8.196885914,110.7426289,"Bantul, Yogyakarta",0,2761.276016,-0.002387716668,16.2788206
19,-7.648045137,110.7053425,"Sleman, Yogyakarta",0.9274099469,2949.203801,0.1611886621,19
20,-7.734798885,110.5028742,"Sleman, Yogyakarta",1.317473412,2459.600232,0.2134693265,3
21,-8.044576827,110.3946593,"Kulon Progo, Yogyakarta",7.038873196,2668.472486,0.2122207582,50
22,-8.085013875,110.7884407,"Bantul, Yogyakarta",4.657021523,2666.564424,0.1468775421,2.236067977
23,-7.987915042,110.585196,"Gunungkidul, Yogyakarta",4.65630579,2527.926865,0.1622499675,1
24,-8.048188707,110.5373466,"Bantul, Yogyakarta",9.46210289,2378.548605,0.1574205756,53.46026562
25,-8.179122506,110.7561345,"Bantul, Yogyakarta",19.73298645,2799.006832,0.2804777324,44.55333882
26,-7.851561312,110.6810342,"Gunungkidul, Yogyakarta",4.627367496,2684.562302,0.234022215,19.79898987
27,-7.822956974,110.5501601,"Gunungkidul, Yogyakarta",4.720302582,2887.523794,0.2389505506,54.91812087
28,-7.60131145,110.5075996,"Sleman, Yogyakarta",2.93302989,3176.801443,0.194923535,48.83646179
29,-8.083180246,110.524061,"Bantul, Yogyakarta",14.76768208,2521.27171,0.1464688033,42.75511665
30,-8.054465896,110.5891973,"Bantul, Yogyakarta",2.780288458,2536.259644,0.1108939201,49.979996
31,-7.779930455,110.6528498,"Sleman, Yogyakarta",3.704791784,2843.090484,0.228534326,26.87005769
32,-8.028918356,110.636109,"Bantul, Yogyakarta",2.077144861,2488.23473,0.1499493718,18.38477631
33,-7.742638897,110.7873743,"Sleman, Yogyakarta",5.428483486,2684.679782,0.1707131118,43.829214
34,-7.928289665,110.3482529,"Gunungkidul, Yogyakarta",1.317782402,2565.038252,0.1367048472,14
35,-7.846722382,110.6766768,"Gunungkidul, Yogyakarta",1.871847987,2933.75308,0.1729728729,19.10497317
36,-7.796397319,110.2653608,"Sleman, Yogyakarta",0.9274099469,3250.677171,0.1313307434,3
37,-8.013483836,110.3663345,"Kulon Progo, Yogyakarta",11.15544701,2668.472486,0.1587155759,9
38,-7.734481423,110.3194605,"Sleman, Yogyakarta",3.946861029,3262.014151,0.1631796062,0
39,-7.852783226,110.3168555,"Gunungkidul, Yogyakarta",9.325312614,2702.28745,0.1436402798,18
40,-7.787550089,110.7739824,"Sleman, Yogyakarta",3.851841688,2779.03023,0.2637601495,25.49509757
41,-7.700319566,110.4001445,"Sleman, Yogyakarta",3.361350536,2846.278999,0.123115927,8
43,-7.755692832,110.5670868,"Sleman, Yogyakarta",1.854334116,2664.025447,0.221666649,32.64965543
44,-7.648828157,110.7180273,"Sleman, Yogyakarta",2.076760054,2949.203801,0.1499479115,17.69180601
46,-7.699764255,110.6643817,"Sleman, Yogyakarta",2.780288458,2816.107156,0.1417133212,33.9411255
48,-8.082720515,110.4876546,"Kulon Progo, Yogyakarta",15.61313343,2638.981857,0.1425594687,21.84032967
49,-8.075462127,110.3524484,"Kulon Progo, Yogyakarta",0,2790.514975,-0.03259857371,85.88364221
50,-7.734650187,110.556246,"Sleman, Yogyakarta",2.088255405,2477.421975,0.1102900505,9.219544457